event_name,event_date,source_scope,source_event_id,round_group,confirmed_procedure,pool
Campeonato España Bloque y Velocidad 2023 - Cáceres,2023-11-11,FEDME,18,Clasificatoria,Unknown,Boulder_Women
Emilia Romagna Campionato Regionale 2° prova (B),2023-11-05,FASI,650,Qualification,Unknown,Boulder_Men
Emilia Romagna Campionato Regionale 2° prova (B),2023-11-05,FASI,650,Qualification,Unknown,Boulder_Women
Emilia Romagna Campionato Regionale 2° prova (B),2023-11-05,FASI,650,Final,Unknown,Boulder_Men
Emilia Romagna Campionato Regionale 2° prova (B),2023-11-05,FASI,650,Final,Unknown,Boulder_Women
Lombardia Campionato Regionale 1° prova (B),2023-11-05,FASI,651,Qualification,Unknown,Boulder_Women
Lombardia Campionato Regionale 1° prova (B),2023-11-05,FASI,651,Qualification,Unknown,Boulder_Men
Lombardia Campionato Regionale 1° prova (B),2023-11-05,FASI,651,Final,Unknown,Boulder_Women
Lombardia Campionato Regionale 1° prova (B),2023-11-05,FASI,651,Final,Unknown,Boulder_Men
Open Boulder Provincials,2023-11-05,CEC,56,Qualification,Flash,Boulder_Men
Open Boulder Provincials,2023-11-05,CEC,56,Qualification,Flash,Boulder_Women
Open Boulder Provincials,2023-11-05,CEC,56,Final,Onsight,Boulder_Men
Open Boulder Provincials,2023-11-05,CEC,56,Final,Onsight,Boulder_Women
Norddeutsche Jugendmeisterschaft Bouldern in der Tabakfabrik in Bremen,2023-11-04,DIGITALROCK,13361,Final,Onsight,Boulder_Women
Norddeutsche Jugendmeisterschaft Bouldern in der Tabakfabrik in Bremen,2023-11-04,DIGITALROCK,13361,Final,Onsight,Boulder_Men
Emilia Romagna Campionato Regionale 1° prova (B),2023-10-22,FASI,648,Qualification,Unknown,Boulder_Men
Emilia Romagna Campionato Regionale 1° prova (B),2023-10-22,FASI,648,Qualification,Unknown,Boulder_Women
Emilia Romagna Campionato Regionale 1° prova (B),2023-10-22,FASI,648,Final,Unknown,Boulder_Men
Emilia Romagna Campionato Regionale 1° prova (B),2023-10-22,FASI,648,Final,Unknown,Boulder_Women
"IFSC Asia - Continental Youth Championships (B, S, L, B&L) - Chongqing (CHN) 2023",2023-10-18,IFSC,1349,Qualification,Flash,Boulder_Men
"IFSC Asia - Continental Youth Championships (B, S, L, B&L) - Chongqing (CHN) 2023",2023-10-18,IFSC,1349,Qualification,Flash,Boulder_Women
"IFSC Asia - Continental Youth Championships (B, S, L, B&L) - Chongqing (CHN) 2023",2023-10-18,IFSC,1349,Final,Onsight,Boulder_Men
"IFSC Asia - Continental Youth Championships (B, S, L, B&L) - Chongqing (CHN) 2023",2023-10-18,IFSC,1349,Final,Onsight,Boulder_Women
Rose Bloc Championship - Sélection Provincial Sénior de Bloc,2023-10-08,CEC,54,Qualification,Flash,Boulder_Women
Rose Bloc Championship - Sélection Provincial Sénior de Bloc,2023-10-08,CEC,54,Qualification,Flash,Boulder_Men
Rose Bloc Championship - Sélection Provincial Sénior de Bloc,2023-10-08,CEC,54,Semi-final,Unknown,Boulder_Women
Rose Bloc Championship - Sélection Provincial Sénior de Bloc,2023-10-08,CEC,54,Semi-final,Unknown,Boulder_Men
Rose Bloc Championship - Sélection Provincial Sénior de Bloc,2023-10-08,CEC,54,Final,Unknown,Boulder_Women
Rose Bloc Championship - Sélection Provincial Sénior de Bloc,2023-10-08,CEC,54,Final,Unknown,Boulder_Men
Coppa Italia 4° prova (B),2023-09-23,FASI,565,Qualification,Unknown,Boulder_Men
Coppa Italia 4° prova (B),2023-09-23,FASI,565,Qualification,Unknown,Boulder_Women
Coppa Italia 4° prova (B),2023-09-23,FASI,565,Semi-final,Unknown,Boulder_Men
Coppa Italia 4° prova (B),2023-09-23,FASI,565,Semi-final,Unknown,Boulder_Women
Coppa Italia 4° prova (B),2023-09-23,FASI,565,Final,Unknown,Boulder_Men
Coppa Italia 4° prova (B),2023-09-23,FASI,565,Final,Unknown,Boulder_Women
IFSC Youth World Championships Seoul 2023,2023-08-18,IFSC,1304,Qualification,Flash,Boulder_Men
IFSC Youth World Championships Seoul 2023,2023-08-18,IFSC,1304,Qualification,Flash,Boulder_Women
IFSC Youth World Championships Seoul 2023,2023-08-18,IFSC,1304,Semi-final,Onsight,Boulder_Men
IFSC Youth World Championships Seoul 2023,2023-08-18,IFSC,1304,Semi-final,Onsight,Boulder_Women
IFSC Youth World Championships Seoul 2023,2023-08-18,IFSC,1304,Final,Onsight,Boulder_Men
IFSC Youth World Championships Seoul 2023,2023-08-18,IFSC,1304,Final,Onsight,Boulder_Women
