coaching_unlock_rank,problem_id,coaching_athletes_unlocked,coaching_observations_unlocked,physical_observations_unlocked,board_observations_unlocked
428,IFSC|event:1412|route:15862,1,9,7,2
429,IFSC|event:1412|route:15863,1,9,7,2
430,IFSC|event:1412|route:15864,1,9,7,2
431,IFSC|event:1412|route:15865,1,9,7,2
432,IFSC|event:1412|route:15866,1,9,7,2
433,IFSC|event:1411|route:15837,1,9,7,2
434,IFSC|event:1411|route:15838,1,9,7,2
435,IFSC|event:1411|route:15839,1,9,7,2
436,IFSC|event:1411|route:15840,1,9,7,2
437,IFSC|event:1411|route:15841,1,9,7,2
438,IFSC|event:1410|route:15822,1,9,7,2
439,IFSC|event:1410|route:15823,1,9,7,2
440,IFSC|event:1410|route:15824,1,9,7,2
441,IFSC|event:1410|route:15825,1,9,7,2
442,IFSC|event:1410|route:15826,1,9,7,2
443,CEC|event:182|route:16478,1,8,6,2
444,CEC|event:182|route:16479,1,8,6,2
445,CEC|event:182|route:16480,1,8,6,2
446,CEC|event:182|route:16481,1,8,6,2
447,CEC|event:182|route:16482,1,8,6,2
448,CEC|event:182|route:16483,1,8,6,2
449,CEC|event:182|route:16504,1,8,6,2
450,CEC|event:182|route:16505,1,8,6,2
451,CEC|event:182|route:16506,1,8,6,2
452,CEC|event:182|route:16507,1,8,6,2
453,CEC|event:165|route:14539,1,8,6,2
454,CEC|event:165|route:14540,1,8,6,2
455,CEC|event:165|route:14541,1,8,6,2
456,CEC|event:165|route:14542,1,8,6,2
457,CEC|event:165|route:14543,1,8,6,2
458,CEC|event:165|route:14670,1,8,6,2
459,CEC|event:165|route:14671,1,8,6,2
460,CEC|event:165|route:14672,1,8,6,2
461,CEC|event:165|route:14673,1,8,6,2
462,CEC|event:165|route:15345,1,8,6,2
463,CEC|event:165|route:15346,1,8,6,2
464,CEC|event:165|route:15608,1,8,6,2
465,CEC|event:165|route:15609,1,8,6,2
466,CEC|event:165|route:15610,1,8,6,2
467,CEC|event:165|route:15611,1,8,6,2
468,CEC|event:165|route:15612,1,8,6,2
469,CEC|event:165|route:15613,1,8,6,2
470,CEC|event:165|route:15614,1,8,6,2
471,CEC|event:165|route:15615,1,8,6,2
472,CEC|event:165|route:15616,1,8,6,2
473,CEC|event:165|route:15617,1,8,6,2
474,CEC|event:165|route:15618,1,8,6,2
475,CEC|event:154|route:13207,1,8,6,2
476,CEC|event:154|route:13208,1,8,6,2
477,CEC|event:154|route:13209,1,8,6,2
478,CEC|event:154|route:13210,1,8,6,2
479,CEC|event:154|route:13211,1,8,6,2
480,CEC|event:154|route:13395,1,8,6,2
481,CEC|event:154|route:13396,1,8,6,2
482,CEC|event:154|route:15180,1,8,6,2
483,CEC|event:154|route:15181,1,8,6,2
484,CEC|event:154|route:15182,1,8,6,2
485,CEC|event:154|route:15183,1,8,6,2
486,CEC|event:154|route:15184,1,8,6,2
487,CEC|event:154|route:15185,1,8,6,2
488,CEC|event:154|route:15186,1,8,6,2
489,CEC|event:153|route:13960,1,7,6,1
490,CEC|event:153|route:13961,1,7,6,1
491,CEC|event:153|route:13962,1,7,6,1
492,CEC|event:153|route:13963,1,7,6,1
493,CEC|event:153|route:13964,1,7,6,1
494,CEC|event:153|route:14028,1,7,6,1
