snapshot_date,pool,cycle_phase,rank40_points,rank40_global_elo,median_top40_global_elo,ranked_athletes,events_365
2011-06-25,Boulder_Women,Early cycle,475.5,1819.9660898046136,1900.8284438882586,136,11
2011-07-02,Boulder_Men,Early cycle,902.48,1840.2156716236766,1928.9509488542826,196,11
2011-07-02,Boulder_Women,Early cycle,466.5,1891.7870778142806,1897.9869593488072,133,11
2011-07-15,Boulder_Men,Early cycle,925.9100000000001,1725.8836416369033,1911.068148673482,242,11
2011-07-15,Boulder_Women,Early cycle,560.0,1599.5470151749353,1900.208305560232,151,11
2011-08-19,Boulder_Men,Early cycle,925.9100000000001,1725.8836416369033,1893.9657391493824,228,10
2011-08-19,Boulder_Women,Early cycle,523.33,1905.709537308454,1900.208305560232,147,10
2012-04-13,Boulder_Men,Early cycle,926.49,1721.0450955157394,1907.03138963738,236,11
2012-04-13,Boulder_Women,Early cycle,527.58,1666.8155441246515,1896.3025249991952,150,11
2012-04-21,Boulder_Men,Early cycle,945.66,1610.258083051555,1922.6461161877573,253,11
2012-04-21,Boulder_Women,Early cycle,569.16,1793.3866074769614,1892.86856741994,154,11
2012-04-27,Boulder_Men,Early cycle,1140.32,1919.217645395101,1930.3027332985648,263,12
2012-04-27,Boulder_Women,Early cycle,707.16,1799.9312900863474,1897.1865197916263,158,12
2012-05-18,Boulder_Men,Early cycle,1033.33,1829.810805736148,1934.5753315529796,262,11
2012-05-18,Boulder_Women,Early cycle,585.8199999999999,1672.813456926439,1910.8281513494037,155,11
2012-06-01,Boulder_Men,Early cycle,1100.0,1941.3250965797215,1938.4555308471695,262,11
2012-06-01,Boulder_Women,Early cycle,551.66,1696.8712443993497,1910.8281513494037,163,11
2012-08-25,Boulder_Men,Early cycle,645.0,1941.3250965797215,1931.5772054560953,153,6
2012-08-25,Boulder_Women,Early cycle,369.5,1839.1346016415423,1904.21002386287,113,6
2012-09-12,Boulder_Men,Early cycle,723.5,1929.506850018139,1926.1493512289344,197,7
2012-09-12,Boulder_Women,Early cycle,471.66,1621.0543406632169,1912.7457923002116,133,7
2013-03-22,Boulder_Men,Early cycle,723.5,1929.506850018139,1920.1192624179496,206,8
2013-03-22,Boulder_Women,Early cycle,493.33000000000004,1723.8306552609542,1912.7457923002116,135,8
2013-04-05,Boulder_Men,Early cycle,757.91,1917.387364901355,1922.6160411684368,212,9
2013-04-05,Boulder_Women,Early cycle,494.5,1828.355016307703,1908.7509813692398,149,9
2013-04-26,Boulder_Men,Early cycle,660.16,1921.8562864860255,1909.1172793781411,212,8
2013-04-26,Boulder_Women,Early cycle,432.5,1675.397853275631,1911.8011031184128,154,8
2013-05-11,Boulder_Men,Early cycle,618.3199999999999,1816.2819517557484,1909.1232710990703,219,8
2013-05-11,Boulder_Women,Early cycle,444.25,1792.0949043076664,1910.480499059423,156,8
2013-05-17,Boulder_Men,Early cycle,713.33,1756.3012385405432,1907.9634068321918,223,9
2013-05-17,Boulder_Women,Early cycle,557.66,1963.5132842184005,1918.719370666535,162,9
2013-06-01,Boulder_Men,Early cycle,607.0,1906.9262970555085,1908.7629176463568,222,9
2013-06-01,Boulder_Women,Early cycle,528.33,1987.4871529209038,1911.846228046725,168,9
2013-06-07,Boulder_Men,Early cycle,618.3199999999999,1816.2819517557484,1906.214428521964,217,9
2013-06-07,Boulder_Women,Early cycle,536.75,1715.973202679563,1901.7535783167627,167,9
2013-08-24,Boulder_Men,Early cycle,682.49,1815.4315786220834,1892.4901635442757,231,10
2013-08-24,Boulder_Women,Early cycle,646.66,1888.2070900168262,1907.547846884117,175,10
2014-04-26,Boulder_Men,Early cycle,495.0,2014.2901914381937,1914.2627905934667,160,7
2014-04-26,Boulder_Women,Early cycle,507.90999999999997,1593.7348827812275,1894.5580345701774,146,7
2014-05-03,Boulder_Men,Early cycle,457.5,1911.1522348830206,1914.2627905934667,172,7
2014-05-03,Boulder_Women,Early cycle,403.33000000000004,2040.6087713219567,1887.3659945481581,156,7
2014-05-10,Boulder_Men,Early cycle,495.0,1845.8678755687781,1915.7841385025706,197,8
2014-05-10,Boulder_Women,Early cycle,517.5,1774.392235627246,1898.6743520989355,171,8
2014-05-16,Boulder_Men,Early cycle,581.6600000000001,2117.644913893375,1920.2791224616503,202,8
2014-05-16,Boulder_Women,Early cycle,524.66,1872.8419992799006,1904.8172113910814,170,8
2014-05-31,Boulder_Men,Early cycle,540.0,1850.2505409807386,1905.972378031682,198,8
2014-05-31,Boulder_Women,Early cycle,535.0,1759.5110493768611,1892.6320714598883,164,8
2014-06-06,Boulder_Men,Early cycle,496.65999999999997,1712.0670984432122,1897.3201954750048,204,8
2014-06-06,Boulder_Women,Early cycle,536.66,1832.542046325497,1907.6022428594124,167,8
2014-06-20,Boulder_Men,Early cycle,495.0,1845.8678755687781,1902.492361657406,200,8
2014-06-20,Boulder_Women,Early cycle,536.66,1832.542046325497,1903.452438696814,159,8
2014-06-27,Boulder_Men,Early cycle,580.0,1855.586375570927,1896.4980098979486,208,9
2014-06-27,Boulder_Women,Early cycle,628.32,1800.4994021531613,1897.2556262342252,161,9
2014-08-21,Boulder_Men,Early cycle,746.16,1742.5288335259488,1900.000450502286,233,10
2014-08-21,Boulder_Women,Early cycle,738.5,1728.742953305263,1901.3360352756745,177,10
2015-05-30,Boulder_Men,Early cycle,480.0,1846.4557425009025,1911.7302754720304,191,6
2015-05-30,Boulder_Women,Early cycle,337.5,1917.6784753356442,1891.8774855912113,147,6
2015-06-05,Boulder_Men,Early cycle,591.16,1769.8759751961709,1928.241973543355,198,6
2015-06-05,Boulder_Women,Early cycle,403.75,1768.1411857750577,1890.424076752449,148,6
2015-06-20,Boulder_Men,Early cycle,578.83,1847.2447013939827,1914.1642027114683,201,6
2015-06-20,Boulder_Women,Early cycle,455.0,1959.8214531620306,1899.5926375066279,150,6
2015-06-26,Boulder_Men,Early cycle,622.5,1834.7813933775528,1910.6460198048403,197,6
2015-06-26,Boulder_Women,Early cycle,443.33000000000004,1874.0486499102303,1892.231719829123,144,6
2015-08-14,Boulder_Men,Early cycle,592.25,1566.7299252319585,1919.124346686931,240,6
2015-08-14,Boulder_Women,Early cycle,466.65999999999997,2021.8899307167842,1892.6252378980134,173,6
2016-04-15,Boulder_Men,Early cycle,720.49,1856.1077066002626,1921.262650913966,210,6
