model,evaluation_domain,evaluation_window,competitions,athlete_starts,spearman,winner_logloss,pairwise_brier,pairwise_logloss,top_24_brier,top_16_brier,top_8_brier,top_3_brier,pairwise_brier_s250,pairwise_logloss_s250,pairwise_brier_s300,pairwise_logloss_s300,pairwise_brier_s350,pairwise_logloss_s350,pairwise_brier_s450,pairwise_logloss_s450,pairwise_brier_s500,pairwise_logloss_s500,pairwise_brier_s600,pairwise_logloss_s600
hier_level_conservative,CEC national,2025+ locked evaluation,14,719,0.5849830678945016,3.4615507742232325,0.21675165464739782,0.6271874740976128,0.22336338367161873,0.21953305645902718,0.1986711102468253,0.15940641537310743,,,,,,,,,,,,
hier_level_conservative,CEC other,2022-2024 tuning,6,306,0.48366637357940695,3.4495540931859003,0.23274444897357585,0.6602008617190251,0.24043037743487958,0.2390181043891537,0.2304072504138458,0.1915923460187788,,,,,,,,,,,,
hier_level_conservative,CEC other,2025+ locked evaluation,4,231,0.6658141053465354,3.6009057793996635,0.21322123514388486,0.6271725604741482,0.22644022049593743,0.2213241018730891,0.19593968265552697,0.15705865053154472,,,,,,,,,,,,
hier_level_conservative,CEC provincial / local,2022-2024 tuning,124,2868,0.5515405699510068,2.856858951099389,0.23089418572927567,0.6593018393961846,0.09825988586835982,0.17372229828522193,0.22416670873022088,0.21818552535070476,,,,,,,,,,,,
hier_level_conservative,CEC provincial / local,2025+ locked evaluation,233,5930,0.6263146552432849,2.8202153234848524,0.21551291823588525,0.62721405308406,0.10968423925593511,0.17477107750927193,0.21333900242603812,0.1933261187310806,,,,,,,,,,,,
hier_level_conservative,Open WC+,2022-2024 tuning,69,2883,0.7418998676447249,3.0013168023638306,0.16423493432263267,0.5074535957171129,0.1667677414309918,0.17101606915339312,0.14185982030303182,0.09021071061815573,,,,,,,,,,,,
hier_level_conservative,Open WC+,2025+ locked evaluation,45,1831,0.7990267941393024,2.8591117050756574,0.1539104325890886,0.48534937007921924,0.1659112548710375,0.1659387748739027,0.12990247921785975,0.08536396794024781,,,,,,,,,,,,
hier_level_conservative,Other,2022-2024 tuning,736,23350,0.6443229534639096,2.8744662903720744,0.21060045288971915,0.6203121856075865,0.1220219236284896,0.16891737791007946,0.2000186781383001,0.18021175208490736,,,,,,,,,,,,
hier_level_conservative,Other,2025+ locked evaluation,1922,47515,0.7023524021400356,2.8212114806159425,0.2247408507698583,0.6489013041535305,0.08713500918598255,0.14817831813479468,0.2171315887875885,0.2134699005917375,,,,,,,,,,,,
hier_level_strong,CEC national,2022-2024 tuning,24,1306,0.5201334052060033,3.645219814467211,0.22994425322283948,0.6556598020169403,0.22529813720162364,0.23220509839488512,0.21672857849751367,0.19089456943618996,,,,,,,,,,,,
hier_level_strong,CEC national,2025+ locked evaluation,14,719,0.6273101777072393,3.439218512150525,0.21189036911124184,0.6171750707222591,0.2187989383595889,0.21438989713650816,0.19348331773127508,0.1533228471507411,,,,,,,,,,,,
hier_level_strong,CEC other,2022-2024 tuning,6,306,0.5234641605393683,3.416915163840043,0.2275886756870117,0.6495280637010219,0.2367448890065542,0.23409340944165494,0.21715380480472268,0.17604732778765628,,,,,,,,,,,,
hier_level_strong,CEC other,2025+ locked evaluation,4,231,0.6531997475139703,3.56132360658176,0.2053008855868562,0.610244815871132,0.21836372052936687,0.21044770648073588,0.17810442355031003,0.14447905534302444,,,,,,,,,,,,
hier_level_strong,CEC provincial / local,2022-2024 tuning,124,2868,0.557862106070256,2.842753022052383,0.22999122971632602,0.6574120784062238,0.09794345195211487,0.1729975626216453,0.22327740309961577,0.2164586182279723,,,,,,,,,,,,
hier_level_strong,CEC provincial / local,2025+ locked evaluation,233,5930,0.6260200616930863,2.8068985515817584,0.21475664524835716,0.625558210771206,0.10954022625147301,0.17434564967814326,0.2126191023270418,0.19205668358160538,,,,,,,,,,,,
hier_level_strong,Open WC+,2022-2024 tuning,69,2883,0.7385059314602918,3.000924105533574,0.1616668499335917,0.5005578484005758,0.1625139929569416,0.16784091406159843,0.13935086158073715,0.08999613761901414,,,,,,,,,,,,
hier_level_strong,Open WC+,2025+ locked evaluation,45,1831,0.7871916714972917,2.8762350231420397,0.15206428744554304,0.4798765962116423,0.16217510072799105,0.1631348044482842,0.12955968923891575,0.08641071641774983,,,,,,,,,,,,
hier_level_strong,Other,2022-2024 tuning,736,23350,0.6464543187942988,2.8733975763033612,0.2099125957684723,0.6189234585445221,0.12132941195876325,0.1682289557538828,0.19880252286379618,0.17903662362996237,,,,,,,,,,,,
hier_level_strong,Other,2025+ locked evaluation,1922,47515,0.702730943071383,2.818692824450703,0.22445810755978476,0.6483074451166306,0.08685191879048548,0.14782110410134505,0.21664538400432573,0.2130783919019074,,,,,,,,,,,,
